date,title,price,weight,kind,site,location
2022-08-23 21:40:02,"껍질째먹는 훈이네 경북 부사 청송 꿀사과, 혼합5KG",32900,5,부사,쿠팡,경상북도
2022-08-23 21:40:03,"고산지 재배 당도선별 사과, 1.5kg(5~8입), 1봉",12800,1.5,,쿠팡,
2022-08-23 21:40:05,"[농장직송] 22년 첫 출하 경북 햇 홍로 사과 (당일수확출고), 정품 홍로사과 2kg 한입소과(11과내외)",14700,2,홍로,쿠팡,경상북도
2022-08-23 21:40:06,"국내산 당도선별 안동세척 사과, 2kg(7~12입), 1개",16800,2,,쿠팡,경상북도
2022-08-23 21:40:08,"세척사과 껍질채 먹는 고당도 단단한 정품 사과 꿀 부사, 4.5kg 1박스 (20-28과)",32200,4.5,부사,쿠팡,
2022-08-23 21:40:09,[영주마실] 아오리 새콤달콤 한입사과 5KG 여름의 왕,12900,5,아오리,쿠팡,경상북도
2022-08-23 21:40:12,"클라스가 다른 경북 햇 홍로 사과 가정용 5kg, 1박스, 경북 햇 홍로 사과 가정용 5kg 25-28과",15900,5,홍로,쿠팡,경상북도
2022-08-23 21:40:14,"클라스가 다른 경북 햇 홍로 사과 가정용 5kg, 1박스, 경북 햇 홍로 사과 가정용 5kg 29-33과",13900,5,홍로,쿠팡,경상북도
2022-08-23 21:40:16,"새콤달콤 맛있는 아오리 햇 사과, 한입 사과 4.5KG",13500,4.5,아오리,쿠팡,
2022-08-23 21:40:18,"[한울지기] 22년 청송 사과 홍로 부사 당도선별 꿀사과 3kg 대과 중과, 3kg 13-15과 중과",15800,3,홍로,쿠팡,경상북도
2022-08-23 21:40:20,"[고운] 청송사과 21 정품 햇 사과 5KG 10kg 선물용 제수용 명절 설 선물세트, 1box, 명품선물용(왕특대)-5kg(9~11과)",74900,5,,쿠팡,경상북도
2022-08-23 21:40:22,"여름 수확하는 초록 사과 신품종 썸머킹 아오리 사과, 세척 초록 사과 2.5kg",15120,2.5,아오리,쿠팡,
2022-08-23 21:40:22,아삭아삭당도좋은고랭자사과10kg(55-70과),19900,10,,쿠팡,
2022-08-23 21:40:24,"[별담농]22년 햇 가을사과 홍로 요까 감홍 양광 홍옥 시나노 2.5kg~10kg 가정용/주스용, 가을7kg간식(33-41)",33900,7,홍로,쿠팡,
2022-08-23 21:40:25,"아오리 사과 1.3kg봉(6~8입), 1.3kg, 1개",7890,1.3,아오리,쿠팡,
2022-08-23 21:40:27,"[장길영사과] 사과 알뜰 특대과 5kg(10~16과), 상세 설명 참조, 상세 설명 참조",15900,5,,쿠팡,
2022-08-23 21:40:29,"[장길영사과] 갈아먹는 알뜰사과 중소과 10kg(33~46과), 상세 설명 참조, 상세 설명 참조",15900,10,,쿠팡,
2022-08-23 21:40:30,"[산들네] 껍질째 먹는 경북 세척 꼬마사과 3kg 18-22과내, 단품",17500,3,,쿠팡,경상북도
2022-08-23 21:40:31,"꿀당도 햇 홍로 사과 5kg, 홍로사과 5kg(17~18과)",32900,5,홍로,쿠팡,
2022-08-23 21:40:33,"[장길영사과] 사과 중과 5kg(17~19과), 상세 설명 참조, 상세 설명 참조",19900,5,,쿠팡,
2022-08-23 21:40:36,"산지직송 경북 청송 꿀 사과 부사 세척 사과 가정용 중과 대과 특과 5kg, 아삭 제철 사과 5kg (26-30과) - 중과",17860,5,부사,쿠팡,경상북도
2022-08-23 21:40:37,(용이다팜) 정품 가정용 사과10kg 홍로 (50과내외),24900,10,홍로,쿠팡,
