date,name,price,weight,kind,site,location
2022-08-23 17:16:34,"껍질째먹는 훈이네 경북 부사 청송 꿀사과, 혼합5KG",6580,5,부사,쿠팡,경상북도
2022-08-23 17:16:35,"고산지 재배 당도선별 사과, 1.5kg(5~8입), 1봉",8533,1.5,,쿠팡,
2022-08-23 17:16:36,"국내산 당도선별 안동세척 사과, 2kg(7~12입), 1개",8400,2,,쿠팡,경상북도
2022-08-23 17:16:38,"클라스가 다른 경북 햇 홍로 사과 가정용 5kg, 1박스, 경북 햇 홍로 사과 가정용 5kg 29-33과",2780,5,홍로,쿠팡,경상북도
2022-08-23 17:16:40,"(고씨네농장) 2022년 햇사과 홍로 고당도 빨간 꿀사과 경북사과 5kg 35900, 중소과 3kg (12~15과)",9633,3,홍로,쿠팡,
2022-08-23 17:16:42,"새콤달콤 맛있는 아오리 햇 사과, 한입 사과 4.5KG",3000,4.5,아오리,쿠팡,
2022-08-23 17:16:42,"아오리 사과 1.3kg봉(6~8입), 1.3kg, 1개",6069,1.3,아오리,쿠팡,
2022-08-23 17:16:45,"[농장직송] 22년 첫 출하 경북 햇 홍로 사과 (당일수확출고), 정품 홍로사과 2kg 한입과(14-16과내외)",7350,2,홍로,쿠팡,경상북도
2022-08-23 17:16:46,"2022여름수확 꿀맛 홍로 햇사과 5kg 20과내외 밀양얼음골 하나팜농장 해발450m 당도최고, 1개",7140,5,홍로,쿠팡,경상남도
2022-08-23 17:16:49,"클라스가 다른 경북 햇 홍로 사과 가정용 5kg, 1박스, 경북 햇 홍로 사과 가정용 5kg 25-28과",3180,5,홍로,쿠팡,경상북도
2022-08-23 17:16:50,[영주마실] 아오리 새콤달콤 한입사과 5KG 여름의 왕,2580,5,아오리,쿠팡,경상북도
2022-08-23 17:16:52,"껍질째먹는 훈이네 경북 부사 청송 가정용 선물용 꿀사과 3kg 5kg 10kg, 소과(아침대용)5KG",6380,5,부사,쿠팡,경상북도
2022-08-23 17:16:53,"껍질채먹는 간편한 세척사과, 세척사과 2.5kg 13~18과 꼬마사과",5160,2.5,,쿠팡,
2022-08-23 17:16:54,"곰곰 당도선별 사과(햇), 2kg봉",8295,2,,쿠팡,
2022-08-23 17:16:56,"[한울지기] 22년 청송 사과 홍로 부사 당도선별 꿀사과 3kg 대과 중과, 3kg 13-15과 중과",5266,3,홍로,쿠팡,경상북도
2022-08-23 17:16:58,"(고씨네농장) 2022년 햇사과 홍로 고당도 빨간 꿀사과 경북사과 5kg 35900, 중소과 3kg (12~15과)",9633,3,홍로,쿠팡,
2022-08-23 17:17:00,"[산들네] 껍질째 먹는 경북 세척 꼬마사과 3kg 18-22과내, 단품",5833,3,,쿠팡,경상북도
2022-08-23 17:17:01,"[은하수농장] 가정용 꿀사과 특가판매, 1박스, 04.가정용흠과 사과 2KG/중과",7950,2,,쿠팡,
2022-08-23 17:17:02,"하이프루츠 썸머킹 초록사과, 1.5kg (7~10과이내), 1봉",6913,1.5,,쿠팡,
2022-08-23 17:17:05,"산지직송 경북 청송 꿀 사과 부사 세척 사과 가정용 중과 대과 특과 5kg, 아삭 제철 사과 5kg (26-30과) - 중과",3572,5,부사,쿠팡,경상북도
2022-08-23 17:17:06,"새콤달콤 맛있는 아오리 햇 사과, 한입 사과 4.5KG",3000,4.5,아오리,쿠팡,
2022-08-23 17:17:08,"프레샤인 GAP 인증 충주 깨끗이 씻은 초록사과, 2.5kg, 1박스",7960,2.5,,쿠팡,충청북도
2022-08-23 17:17:09,"[산지 직송] 가정용 아오리 사과 5KG 10KG, 5KG 꼬마(31~35과)",2640,5,아오리,쿠팡,
2022-08-23 17:17:10,"프레샤인 GAP 인증 충주 초록사과, 1.3kg(5~9입), 1봉",9153,1.3,,쿠팡,충청북도
2022-08-23 17:17:11,[영주마실] 아오리 새콤달콤 한입사과 5KG 여름의 왕,2580,5,아오리,쿠팡,경상북도
2022-08-23 17:17:13,"[착한식탁] 껍질채먹는 햇 홍로 세척 사과 5kg(24-28과), 세척사과 5kg 24-28과 내외",4560,5,홍로,쿠팡,
2022-08-23 17:17:15,"아오리사과 4kg 정말 맛있는 사과 농원직송, 1박스, 4kg(아오리사과/29과 내외)",3175,4,아오리,쿠팡,
2022-08-23 17:17:17,"클라스가 다른 경북 햇 아오리사과 (가정용) 10kg, 1박스, 경북 햇 아오리사과 (가정용) 10kg 48-51과",1890,10,아오리,쿠팡,경상북도
2022-08-23 17:17:18,"아삭 상큼달콤 사과, 가정용 사과 5kg 중대과",4740,5,,쿠팡,
2022-08-23 17:17:19,"[은하수농장] 가정용 꿀사과 특가판매, 1박스, 05.가정용흠과 사과 2KG/대과",8950,2,,쿠팡,
2022-08-23 17:17:20,"다조은 초록사과, 2.5kg(11~15입), 1박스",6144,2.5,,쿠팡,
2022-08-23 17:17:21,"정성담은 아삭한 사과, 가정용 사과 10kg 중대과",3780,10,,쿠팡,
2022-08-23 17:17:24,"늘품 가정용 껍질채먹는 흠집 아오리 사과 안동 청송사과 못난이 경북사과 5kg 10kg, 꿀맛 햇 아오리 꼬마 5kg (31-35과)",2380,5,아오리,쿠팡,경상북도
2022-08-23 17:17:25,"A[공주네농장] 새벽이슬맺힌 안동꿀사과 ~할인특가판매 행사중~, 1박스, 01. 가정용 흠과 2KG / 소과",6950,2,,쿠팡,충청남도
2022-08-23 17:17:27,"풍기농협협동조합 국내산 썸머킹 사과 특, 2kg(9~12과 이내), 1박스",8250,2,,쿠팡,서울특별시
2022-08-23 17:17:28,"사과사랑 아삭아삭 사과, 가정용 사과 8kg 중대과",3662,8,,쿠팡,
date,name,price,weight,kind,site,location
2022-08-23 17:21:43,"세척사과 껍질채 먹는 고당도 단단한 정품 사과 꿀 부사, 4.5kg 1박스 (20-28과)",7155,4.5,부사,쿠팡,
2022-08-23 17:21:44,"고산지 재배 당도선별 사과, 1.5kg(5~8입), 1봉",8533,1.5,,쿠팡,
2022-08-23 17:21:46,"[농장직송] 22년 첫 출하 경북 햇 홍로 사과 (당일수확출고), 정품 홍로사과 2kg 한입과(14-16과내외)",7350,2,홍로,쿠팡,경상남도
2022-08-23 17:21:48,"클라스가 다른 경북 햇 홍로 사과 가정용 5kg, 1박스, 경북 햇 홍로 사과 가정용 5kg 25-28과",3180,5,홍로,쿠팡,경상남도
2022-08-23 17:21:49,"껍질째먹는 훈이네 경북 부사 청송 꿀사과, 혼합5KG",6580,5,부사,쿠팡,경상남도
2022-08-23 17:21:51,"새콤달콤 맛있는 아오리 햇 사과, 한입 사과 4.5KG",3000,4.5,아오리,쿠팡,
2022-08-23 17:21:53,"[한울지기] 22년 청송 사과 홍로 부사 당도선별 꿀사과 3kg 대과 중과, 3kg 13-15과 중과",5266,3,홍로,쿠팡,경상북도
2022-08-23 17:21:55,"[장길영사과] 갈아먹는 알뜰사과 중소과 10kg(33~46과), 상세 설명 참조, 상세 설명 참조",1590,10,,쿠팡,
2022-08-23 17:21:57,"2022여름수확 꿀맛 홍로 햇사과 5kg 20과내외 밀양얼음골 하나팜농장 해발450m 당도최고, 1개",7140,5,홍로,쿠팡,경상남도
2022-08-23 17:22:00,"산지직송 경북 청송 꿀 사과 부사 세척 사과 가정용 중과 대과 특과 5kg, 아삭 제철 사과 5kg (26-30과) - 중과",3572,5,부사,쿠팡,경상남도
2022-08-23 17:22:01,"(침샘자극 새콤달콤) 아오리 사과 썸머킹 청사과 풋사과, 대과 2kg",9450,2,아오리,쿠팡,
2022-08-23 17:22:03,"껍질째먹는 훈이네 경북 부사 청송 가정용 선물용 꿀사과 3kg 5kg 10kg, 소과(아침대용)5KG",6380,5,부사,쿠팡,경상남도
2022-08-23 17:22:06,"클라스가 다른 경북 햇 홍로 사과 가정용 5kg, 1박스, 경북 햇 홍로 사과 가정용 5kg 29-33과",2780,5,홍로,쿠팡,경상남도
2022-08-23 17:22:08,"[별담농]22년 햇 가을사과 홍로 요까 감홍 양광 홍옥 시나노 2.5kg~10kg 가정용/주스용, 가을7kg간식(33-41)",4842,7,홍로,쿠팡,
2022-08-23 17:22:08,"곰곰 당도선별 사과(햇), 2kg봉",8295,2,,쿠팡,
2022-08-23 17:22:10,"[산들네] 껍질째 먹는 경북 세척 꼬마사과 3kg 18-22과내, 단품",5833,3,,쿠팡,경상남도
