date,title,price,weight,kind,site,location
2022-08-24 06:28:32,사과 부사 못난이 꿀사과 10kg 5kg 경북 청송 안동 문경,35900,5,부사,Naver,경상남도
2022-08-24 06:28:35,햇 아오리 사과 문경 산지 직송 여름 사과 5kg,33900,5,아오리,Naver,경상북도
2022-08-24 06:28:39,사과 부사 경북 못난이 흠집 꿀사과 껍질째먹는 사과유명한곳 5kg 10kg,16600,5,부사,Naver,경상남도
2022-08-24 06:28:43,경북 못난이 꿀사과 흠집 주스용 쥬스용 5kg 10kg,20900,5,홍로,Naver,경상남도
2022-08-24 06:28:46,털보네 껍질째먹는 꿀사과 흠집사과 못난이 흠과 5kg 10kg,15900,5,부사,Naver,
2022-08-24 06:28:50,사과 햇 홍로 청송 껍질째먹는 추석 사과 5kg,47900,5,홍로,Naver,경상북도
2022-08-24 06:28:53,늘품 경북 가정용 햇사과 못난이 흠집 껍질째먹는 아오리 사과 5kg 10kg,11900,5,아오리,Naver,경상남도
2022-08-24 06:28:58,달농 22년 첫수확 경북 햇 홍로사과 정품 경북 청송 안동 사과 산지직송,12500,2,홍로,Naver,경상남도
2022-08-24 06:29:03,사과 경북사과 부사 못난이 꿀사과 5kg 10kg,15900,5,부사,Naver,
2022-08-24 06:29:06,명품 고당도 경북 청송사과 꿀 부사 못난이 5kg 주스용 추석 설 선물세트 아오리 썸머킹,28600,10,부사,Naver,경상남도
2022-08-24 06:29:13,첫 수확 아오리 햇 사과 2.5kg+2.5g (총 5kg),9900,5,부사,Naver,
2022-08-24 06:29:16,사과 부사 홍로 아오리 못난이 꿀사과 5kg 10kg 경북사과 안동 청송 영천,25900,5,홍로,Naver,경상북도
2022-08-24 06:29:22,국산 경북 풋사과 초록 햇 아오리 사과 4kg,10900,4,아오리,Naver,경상남도
2022-08-24 06:29:25,청송 햇 아오리 사과 껍질째먹는 여름사과 5kg 10kg,33900,5,아오리,Naver,경상북도
2022-08-24 06:29:29,꿀당도 프리미엄 홍로 사과 5kg 14~16과 로얄과 당일수확,32900,5,홍로,Naver,
2022-08-24 06:29:33,아삭후르츠 꿀 홍로 부사 사과 문경 안동 장수 경북 청송 사과 3kg,17000,3,홍로,Naver,경상북도
2022-08-24 06:29:38,껍질째 먹는 경북 세척사과 5kg 28과내,29470,5,,Naver,경상남도
2022-08-24 06:29:41,고당도 프리미엄 거창 홍로 사과 5kg 당도보장,32900,5,홍로,Naver,경상남도
2022-08-24 06:29:44,꿀 경북 청송 햇 사과 부사 홍로 양광 감홍 흠집 못난이사과 추석 설 선물세트,19900,3,홍로,Naver,경상남도
2022-08-24 06:29:50,"문경사과 대박농원 꿀사과 홍로 5kg, 10kg",49900,5,홍로,Naver,경상북도
2022-08-24 06:29:54,경북 영주 햇사과 아오리사과 3kg 5kg,12900,3,아오리,Naver,경상남도
2022-08-24 06:29:56,주스용 쥬스용 흠집 못난이 사과 홍로 부사 아오리 사과 2kg 3kg 5kg 10kg,7900,2,부사,Naver,
2022-08-24 06:30:02,사과 경북 청송 안동 꿀 부사 5kg 10kg 아오리,23900,5,아오리,Naver,경상남도
2022-08-24 06:30:07,새벽이슬 경북 사과 기스 흠집 못난이 꿀 사과 주스용 가정용,23900,5,홍로,Naver,경상남도
2022-08-24 06:30:12,밀양 얼음골 사과 5kg 10kg,30000,5,부사,Naver,경상남도
2022-08-24 06:30:14,사과 청송사과 홍로 최고급 2kg 5kg 추석 선물세트 경북,33900,5,홍로,Naver,경상북도
2022-08-24 06:30:19,사과 청송 얼음골 못난이 꿀 10kg 5kg,28900,5,부사,Naver,경상북도
2022-08-24 06:30:22,여름의 왕 썸머킹 햇 사과 2.5kg+2.5kg (총 5kg),9900,5,부사,Naver,경기도
2022-08-24 06:30:26,껍질째먹는 햇사과 가정용 선물용 못난이 흠집 꿀사과,12900,5,홍로,Naver,
2022-08-24 06:30:29,갈아먹는 알뜰사과 대과 10kg 20~32과,18500,10,,Naver,
2022-08-24 06:30:32,청송 셀레늄 특허 사과 황금 시나노 골드 아리수 부사,19000,8,부사,Naver,경상북도
2022-08-24 06:30:36,사과 경북 고당도 꿀사과 선물용 가정용10kg 5kg,19900,5,부사,Naver,경상남도
2022-08-24 06:30:40,옥이네청과 햇 사과 부사 아오리 주스용 10kg 경북 가정용 못난이 기스 흠과,13570,10,부사,Naver,경상남도
2022-08-24 06:30:48,햇살맘 홍로 세척사과 꿀사과 햇사과 3kg 4.5kg,19500,3,홍로,Naver,
2022-08-24 06:30:52,안동 명품 추석 사과선물세트 홍로 아리수 아오리 부사 5kg 3kg 유명한곳 풋 가정용,19900,3,부사,Naver,경상북도
2022-08-24 06:30:58,온거로먹는 청송 햇 홍로 사과 5kg,47900,5,홍로,Naver,경상북도
2022-08-24 06:31:01,주왕산 털보네하늘사과 갈아먹능금 9kg내외 (쥬스용),12740,9,,Naver,
2022-08-24 06:31:03,밀양 얼음골사과 / 고당도 / 아삭한사과 (산지직송) 5kg 10kg,29700,10,,Naver,경상남도
2022-08-24 06:31:07,경북 가을 햇 빨간사과 홍로 감홍 홍옥 양광 시나노골드 엔비 부사 못난이 흠집 선물세트,16900,3.5,홍로,Naver,경상남도
2022-08-24 06:31:14,경북 청송 여름 햇 아오리 청 사과 썸머킹 1.5kg 3kg 5kg,9900,1.5,아오리,Naver,경상남도
2022-08-24 06:31:20,[착한식탁] 가정용 아오리사과 10kg 꼬마소과 40-60과내외,14460,10,아오리,Naver,
2022-08-24 06:31:22,사과 홍로 꿀 햇사과 5kg 10kg 껍질째먹는 못난이 흠집 게르마늄 고당도 추석선물세트,31500,5,홍로,Naver,
2022-08-24 06:31:28,못난이 낙과 흠과 흠집 부사 홍로 감홍 안동 사과 10kg 쥬스용 주스용 10키로 썸머킹 아오리,18900,10,부사,Naver,경상북도
2022-08-24 06:31:35,사과 경북 아오리 햇사과 썸머킹 1.6kg 2.5kg,13900,1.6,부사,Naver,경상남도
2022-08-24 06:31:38,털보네사과 가정용흠과 9kg,25570,9,,Naver,
2022-08-24 06:31:40,예산사과 대표 맛있는 햇 홍로사과 5kg,31000,5,홍로,Naver,충청남도
2022-08-24 06:31:42,거창농산 아삭사과 껍질채 먹는 산지직송 꿀 홍로 5kg,23800,5,홍로,Naver,경상남도
2022-08-24 06:31:46,가을 빨간사과 모음전 감홍 홍로 홍옥사과 요까 양광 시나노스위트 명절 사과 선물세트,15900,,홍로,Naver,
2022-08-24 06:31:52,아오리사과 껍질째먹는 청송 햇 여름 꿀 청사과 5kg 10kg,27900,5,아오리,Naver,경상북도
2022-08-24 06:31:56,(고씨네농장) 2022년 햇사과 고당도 빨간 꿀사과 5kg 10kg 홍로 경북사과,29800,5,홍로,Naver,
2022-08-24 06:32:04,껍질째먹는 사과 못난이 선물세트 가정용,17900,3,부사,Naver,
2022-08-24 06:32:07,영천 미니사과 알프스오토메 루비에스 꼬마 사과 효능 칼로리 2kg,15900,2,,Naver,경상북도
2022-08-24 06:32:13,문경 못난이 풋사과 청사과 아오리 썸머킹 유명한곳,26900,5,아오리,Naver,경상북도
2022-08-24 06:32:18,세척사과 아오리 홍로 아침부터멋 2.5kg(12-13개) 영주 껍질째먹는 고당도 햇사과 김가네과일촌,13800,2.5,아오리,Naver,경상북도
2022-08-24 06:32:25,단골상회 세척사과 가정용 정품 꿀사과 청송 안동 부사 홍로 3kg,14500,3,홍로,Naver,경상북도
2022-08-24 06:32:31,[고당도 예산 엔비 사과 2.5-10kg] nb Envy mb,25500,5,,Naver,충청남도
2022-08-24 06:32:36,사과 햇 홍로 사과 장수 가정용 추석 선물세트 5kg 10kg,25900,5,홍로,Naver,전라북도
2022-08-24 06:32:43,[당도선별] 유명산지 청송 햇 홍로사과 1.5kg (봉),12800,1.5,홍로,Naver,경상북도
