date,title,price,weight,kind,site,location
2022-08-24 03:08:33,조선호텔 포기김치 4kg,27710,4,배추,Naver,
2022-08-24 03:08:34,안동학가산 배추김치 7kg,35890,7,배추,Naver,경상북도
2022-08-24 03:08:35,다예린 전라도 해남 김장 포기 김치 5kg,26900,5,배추,Naver,전라남도
2022-08-24 03:08:38,조선호텔 포기김치 8kg,53750,8,배추,Naver,
2022-08-24 03:08:39,행복이온 포기김치 10kg,48760,10,배추,Naver,
2022-08-24 03:08:40,맛있게 매운 대전 선화동 실비 김치 800g,10680,0.8,배추,Naver,대전광역시
2022-08-24 03:08:42,엄마손맛 포기김치 10Kg,37980,10,배추,Naver,
2022-08-24 03:08:43,우리땅배추김치 태백 10kg,54790,10,배추,Naver,강원도
2022-08-24 03:08:45,친정김치 배추김치 10kg,33040,10,배추,Naver,
2022-08-24 03:08:47,사계절 아삭 포기김치 10kg,50250,10,배추,Naver,
2022-08-24 03:08:49,대복 포기김치 10kg,42700,10,배추,Naver,
2022-08-24 03:08:52,맵따구 불김치 매운 실비 배추 파 갓 총각 무 별미 맛있는 광주 전라도 김치,18900,1,총각,Naver,경기도
2022-08-24 03:09:02,푸드뱅크 가정식 생 포기김치 10Kg,38900,10,배추,Naver,
2022-08-24 03:09:06,국산 100% 전라도 배추 김치 포기 김장김치 주문,14900,2,배추,Naver,전라남도
2022-08-24 03:16:18,포기김치 3kg,23000,3,배추,Naver,
2022-08-24 03:09:13,톡톡 포기김치 10kg,49900,10,배추,Naver,
2022-08-24 03:09:15,썽난 매운 실비김치 배추 보쌈 김치 700g,13900,1,배추,Naver,
2022-08-24 03:09:20,작품김치 중국산김치10kg,17500,10,배추,Naver,
2022-08-24 03:09:22,포기 배추 김치 2kg,16830,2,배추,Naver,
2022-08-24 03:09:25,"안동학가산 국내산 고랭지 포기김치 4kg, 7kg, 대상수상 김치",28000,4,배추,Naver,경상북도
2022-08-24 03:09:30,전라도 포기김치 3.3kg,28790,3.3,배추,Naver,전라남도
2022-08-24 03:09:32,팔공산 명품포기김치 10kg,51450,10,배추,Naver,
2022-08-24 03:09:35,깐깐 송도순 포기김치 10kg,39880,10,배추,Naver,
2022-08-24 03:09:37,조선호텔 포기김치 2.5kg,20690,2.5,배추,Naver,
2022-08-24 03:09:40,포기김치 8kg,41660,8,배추,Naver,
2022-08-24 03:09:41,포기배추김치 3.3kg,24090,3.3,배추,Naver,
2022-08-24 03:09:42,나홀로족세트상품 대전 선화동실비김치 800g+실비파김치 500g,26000,,배추,Naver,대전광역시
2022-08-24 03:09:46,포기김치10kg,37090,10,배추,Naver,
2022-08-24 03:09:47,전라도 행복이온 포기김치 10kg,54790,10,배추,Naver,전라남도
2022-08-24 03:09:49,[당일제조] 100% 국산 전라도 배추김치 2kg 10kg 포기 주문 김장,11900,2,배추,Naver,전라남도
2022-08-24 03:09:56,썰은 배추김치 1.8kg,15590,1.8,배추,Naver,
2022-08-24 03:09:58,김춘자명인 소문난 김장김치 1KG 3KG 5KG 10KG 국내산100% 곰탕 설렁탕 국밥맛집 국산포기배추김치주문 HACCP 해썹 프리미엄 전라도식 감칠맛장인,29500,1,배추,Naver,전라남도
2022-08-24 03:10:11,별미 포기김치 3.5kg,19800,3.5,배추,Naver,
2022-08-24 03:10:14,NEW 김수미김치 국산100% [더프리미엄] 전라도 포기 배추 김치 주문 10KG 5KG,43600,5,배추,Naver,전라남도
2022-08-24 03:10:21,[한국농협김치]순천남도 전라도 배추포기김치 3kg 5kg,25000,3,배추,Naver,전라남도
2022-08-24 03:10:25,콕김치 명인 김장 생김치 주문 국산 배추 보쌈 경기도 맛김치 3 5 10kg,19900,3,배추,Naver,경기도
2022-08-24 03:10:34,정말 맛있는 대전 매운찬 매운 실비 김치 1.5kg,21000,1,실비,Naver,대전광역시
2022-08-24 03:10:39,경상도김치 국내산 포기김치 7종 산골아삭김치 당일 주문제작 맵싹 매운,9900,1,배추,Naver,경상북도
2022-08-24 03:10:46,좋은재료로 만든 맛있는 일품 포기 배추김치 3kg (당일생산),25000,3,배추,Naver,
2022-08-24 03:10:51,궁중비법 100%국산 수제 저염 배추김치 맛집 주문 비법양념 당일제조,10500,1,배추,Naver,
2022-08-24 03:15:29,포기김치 5kg,22900,5,배추,Naver,
2022-08-24 03:10:59,팔공 명품 배추김치/포기 4kg 7kg 김치주문 100%우리농산물,31400,47,배추,Naver,
2022-08-24 03:11:24,포기김치 4kg,23000,4,배추,Naver,
2022-08-24 03:11:06,대전 선화동 매운실비김치 세트 김치1.3kg+파김치 1kg,50000,1.3,배추,Naver,대전광역시
2022-08-24 03:11:10,맛김치 소백 5kg,22500,5,배추,Naver,
2022-08-24 03:11:12,"100% 국산 맛있는 김치 주문 전라도,보쌈김치",12000,,,Naver,전라남도
2022-08-24 03:11:16,맛있는 매운 김치 삼대본가김치 주문 당일생산 1.5kg,17000,1.5,,Naver,
2022-08-24 03:11:21,봉화청량산 김치 국산김치 5kg,26500,5,배추,Naver,경상북도
2022-08-24 03:13:21,포기김치 10kg,55520,10,배추,Naver,
2022-08-24 03:11:27,양희경 서울식 포기김치 10kg,39510,10,배추,Naver,서울특별시
2022-08-24 03:11:29,30년전통 김치 국산 배추김치 포기 주문,29900,5,배추,Naver,
2022-08-24 03:11:34,사대부 포기김치 10kg,35190,10,포기,Naver,
2022-08-24 03:11:36,맛있는 배추김치 1.5kg,15900,1.5,배추,Naver,
2022-08-24 03:11:38,팔공 명품배추김치 5kg,29520,5,배추,Naver,
2022-08-24 03:11:40,맛김치 1.2KG,10790,1.2,배추,Naver,
2022-08-24 03:11:41,종가집 포기김치 3KG [코스트코] 아이스박스 포장,20270,3,배추,Naver,
2022-08-24 03:11:47,예소담 포기김치 10kg,45570,10,배추,Naver,
2022-08-24 03:11:49,밥하는남자 김하진 포기김치 10kg,35180,10,포기,Naver,
2022-08-24 03:11:53,행복이온 플러스 포기김치 10kg,63800,10,배추,Naver,
2022-08-24 03:11:56,윤김치 맛있는 배추김치 10kg,42900,10,배추,Naver,
2022-08-24 03:11:59,학가산 묵은지 포기김치 10kg,41900,10,배추,Naver,
2022-08-24 03:12:01,도미솔 김치 3종세트12kg (왕비포기8+열무2+대파갓2),39920,312,포기,Naver,
2022-08-24 03:12:04,맛있는 김치 태백산 고원 배추김치 3kg 5kg 모음전 묵은지,24900,5,배추,Naver,강원도
2022-08-24 03:12:10,농협 풍산 포기배추김치 김장 김치 품평회 대상 3kg/5kg,36000,5,배추,Naver,
2022-08-24 03:12:16,"한경 전라도 해풍 생 포기 김치 5kg, 10kg",24900,5,배추,Naver,전라남도
2022-08-24 03:12:22,조선호텔 포기김치 4kg + 열무김치 1.5kg,39400,5.5,배추,Naver,
2022-08-24 03:12:25,행복이온 포기김치 5kg,38500,5,배추,Naver,
2022-08-24 03:12:27,오래오래 맛있는 포기김치 3kg,20310,3,배추,Naver,
2022-08-24 03:12:30,맛있게 매운 대전 선화동 실비 김치 1.3kg,20000,1.3,배추,Naver,대전광역시
2022-08-24 03:12:36,갓 담근 생김치 포기김치 3kg,18280,3,배추,Naver,
2022-08-24 03:12:41,전라도 김장김치 5kg,26890,5,배추,Naver,전라남도
2022-08-24 03:12:43,배추김치 1kg,11800,1,배추,Naver,
2022-08-24 03:12:45,"대전 선화동 소머리 해장국 매운 실비 김치 1.3kg , 2kg",20000,1.3,배추,Naver,대전광역시
2022-08-24 03:12:51,전주진김치 배추 포기 매운맛 1kg 국산 전라도 김치,13000,1,배추,Naver,전라남도
2022-08-24 03:12:56,맛있는 전라도 보쌈김치 2kg,22500,1,배추,Naver,전라남도
2022-08-24 03:12:59,"예스레 맛있는 포기 배추김치 4kg,7kg,10kg 주문제작",27900,4710,배추,Naver,
2022-08-24 03:13:03,양반 캔 김치160g,1780,,,Naver,
2022-08-24 03:13:06,안동 학가산 김치 고랭지 포기 총각 깍두기 백김치 등,26000,7,배추,Naver,경상북도
2022-08-24 03:13:14,노브랜드 별미포기김치3.5kg,14980,3.5,배추,Naver,
2022-08-24 03:13:15,훼미리푸드100% 국내산 포기김치 맛김치 오이소박이 등 각종김치 당일제작,22500,3,배추,Naver,서울특별시
2022-08-24 03:13:22,말바우시장선김치 전라도 국산 포기 배추김치 3kg/2kg,37500,2,배추,Naver,전라남도
2022-08-24 03:13:26,중국산 배추 김치 10kg 중국 수입 생 포기 자른 김치 식당용 업소용,13900,10,배추,Naver,
2022-08-24 03:13:35,아삭하고 시원한 포기김치 3.3kg,17620,3.3,배추,Naver,
2022-08-24 03:13:37,해오름 해뜸김치 국내산 국산 포기 배추 김장 김치 2kg,19900,5,배추,Naver,
2022-08-24 03:13:40,진선미 포기김치 10kg,37640,10,배추,Naver,
2022-08-24 03:13:41,서울요리원 포기김치 10kg,43970,10,배추,Naver,서울특별시
2022-08-24 03:13:42,마녀 포기김치 10kg,17490,10,배추,Naver,
2022-08-24 03:13:43,옹골찬 배추 포기 김치 5Kg 썰은 슬라이스 백 다진 김치 수입 중국산 식당 업소용,12900,5,배추,Naver,강원도
