date,title,price,weight,kind,site,location
2022-08-23 18:49:20,"껍질째먹는 훈이네 경북 부사 청송 꿀사과, 혼합5KG",6580,5,부사,쿠팡,경상남도
2022-08-23 18:49:21,"고산지 재배 당도선별 사과, 1.5kg(5~8입), 1봉",8533,1.5,,쿠팡,
2022-08-23 18:49:23,"[한울지기] 22년 청송 사과 홍로 부사 당도선별 꿀사과 3kg 대과 중과, 3kg 13-15과 중과",5266,3,홍로,쿠팡,경상북도
2022-08-23 18:49:25,"[농장직송] 22년 첫 출하 경북 햇 홍로 사과 (당일수확출고), 정품 홍로사과 2kg 한입과(14-16과내외)",7350,2,홍로,쿠팡,경상남도
2022-08-23 18:49:27,"(고씨네농장) 2022년 햇사과 홍로 고당도 빨간 꿀사과 경북사과 5kg 35900, 중소과 3kg (12~15과)",9633,3,홍로,쿠팡,
2022-08-23 18:49:29,"(침샘자극 새콤달콤) 아오리 사과 썸머킹 청사과 풋사과, 대과 2kg",9450,2,아오리,쿠팡,
2022-08-23 18:49:29,"곰곰 당도선별 사과(햇), 2kg봉",8295,2,,쿠팡,
2022-08-23 18:49:32,"클라스가 다른 경북 햇 홍로 사과 가정용 5kg, 1박스, 경북 햇 홍로 사과 가정용 5kg 25-28과",3180,5,홍로,쿠팡,경상남도
2022-08-23 18:49:33,"하이프루츠 저탄소인증 의성 사과, 1.5kg (5~7입), 중과",7133,1.5,,쿠팡,경상북도
2022-08-23 18:49:36,"산지직송 경북 청송 꿀 사과 부사 세척 사과 가정용 중과 대과 특과 5kg, 아삭 제철 사과 5kg (26-30과) - 중과",3572,5,부사,쿠팡,경상남도
2022-08-23 18:49:38,"새콤달콤 맛있는 아오리 햇 사과, 한입 사과 4.5KG",3000,4.5,아오리,쿠팡,
2022-08-23 18:49:40,"[고운] 청송사과 21 정품 햇 사과 5KG 10kg 선물용 제수용 명절 설 선물세트, 1box, 명품선물용(왕특대)-5kg(9~11과)",14980,5,,쿠팡,경상북도
