date,title,price,weight,kind,site,location
2022-08-22 22:29:17, 털보네사과 가정용흠과 9kg 내외 / 갈아먹능금 9kg 털보네사과 가정용흠과 9kg내외 ,29900,9,,Gmarket,
2022-08-22 22:33:29, 아침이슬사과 20%20% 달콤한 홍로사과 9kg 소과(50-70) 쿠폰가 21540원 ,35900,9,홍로,Gmarket,
2022-08-22 22:30:13, 고당도 청송사과 선물용 명절 선물세트 ,69100,None,,Gmarket,경상북도
2022-08-22 22:33:50, 수창이네 마켓 20%+20% 첫 수확 고당도 가정용 홍로 7kg 소과(42-58과) 쿠폰가 19140원 ,31900,7,홍로,Gmarket,
2022-08-22 22:28:47, 주왕산털보네 햇아오리 4kg 13과  새콤달콤한 햇아오리 ,14900,4,아오리,Gmarket,
2022-08-22 22:28:49, 경북 안동사과 가정용 흠집 홍로 사과 5kg 중소과 21과내 ,26900,5,홍로,Gmarket,경상북도
2022-08-22 22:28:50, 프리미엄 추석 명절 과일 선물세트 제수용 사과 6.5kg ,71390,6.5,,Gmarket,
2022-08-22 22:28:52, 경북 안동사과 가정용 흠집 홍로 사과 5kg 중대과 15과내 ,30900,5,홍로,Gmarket,경상북도
2022-08-22 22:29:22, 가정용 사과  홍로사과 9.5kg(실중량) 꼬마소과 40~60과 ,26900,9.5,홍로,Gmarket,
2022-08-22 22:29:23, 햇 아오리 꼬마소과 9kg 실중량 ,16900,9,아오리,Gmarket,
2022-08-22 22:29:43, 떨이농산 막 드릴게요 햇 홍로 사과 실중량 8kg 중~대과 ,35900,8,홍로,Gmarket,
2022-08-22 22:29:44, 고당도 아삭아삭 청송사과 실중량 9kg 가정용(30~38과) ,49900,9,,Gmarket,경상북도
2022-08-22 22:29:19, 아삭아삭 청송꿀사과 정품만 실중량 9kg 38과 홍로사과 ,59900,9,홍로,Gmarket,경상북도
2022-08-22 22:30:08, 경북 아오리 / 썸머킹 사과 2kg(12과내외)소 22년 수확 ,11900,2,아오리,Gmarket,경상북도
2022-08-22 22:30:31, 경북 아오리 / 썸머킹 사과 3kg(18과내외)소 22년 수확 ,13900,3,아오리,Gmarket,경상북도
2022-08-22 22:30:34, 햇 홍로 사과 가정용10kg 60과내외 ,29800,10,홍로,Gmarket,
2022-08-22 22:29:01, 청정 영주소백산 햇아오리사과 가정용5kg중대과(18~21) ,25200,5,아오리,Gmarket,경상북도
2022-08-22 22:29:03, 옥이네청과 햇 사과 홍로 3kg 실중량 꼬마 가정용 (19-24과 내외) ,12900,3,홍로,Gmarket,
2022-08-22 22:29:04, 황금열매 국내산 맛있는 가정용 흠집 사과   5kg 중과 (18-24과) ,26900,5,,Gmarket,
2022-08-22 22:29:05, 새벽이슬 사과 고당도 홍로 못난이(흠과) 5kg 소과(29-38) ,22900,5,홍로,Gmarket,
2022-08-22 22:29:06, 풋사과 분말 가루 600g(300gx2) 풋사과차 ,15900,None,,Gmarket,
2022-08-22 22:29:07, 새벽이슬 사과 가을 주스용 사과 10kg (착즙휴롬) ,22900,10,,Gmarket,
2022-08-22 22:29:09, 맘사과 가정용 쥬스용 알뜰햇사과 5kg 소소과 소과 21~24과 ,27900,5,,Gmarket,
